Time,Z19_B,Z19_D,H20_B,H20_D
2019-10-16 08:36:00+00:00,8194.0347,,8253.5,8269.5
2019-10-16 08:37:00+00:00,0.0,,0.0,
2019-10-16 08:38:00+00:00,8194.5,8194.270114942528,8251.0,8275.57142857143
2019-10-16 08:39:00+00:00,8195.3778,8190.095113151853,8251.0,8275.0
2019-10-16 08:40:00+00:00,8195.3778,8189.0,8251.0,
2019-10-16 08:41:00+00:00,8194.7062,8192.148148148148,8250.0,8276.0
2019-10-16 08:42:00+00:00,8196.0495,8190.820895522388,8250.8251,8273.041666666666
2019-10-16 08:43:00+00:00,8196.0495,8191.848484848485,8252.1868,8276.0
2019-10-16 08:44:00+00:00,8195.3778,8197.0,8250.8251,8280.474093264249
2019-10-16 08:45:00+00:00,8201.427,8198.190789473685,8255.5932,8280.225806451614
2019-10-16 08:46:00+00:00,8202.7725,8194.5,8257.6383,8278.181818181818
2019-10-16 08:47:00+00:00,8198.7374,,0.0,
2019-10-16 08:48:00+00:00,0.0,,8254.5,
2019-10-16 08:49:00+00:00,8199.5,,0.0,
2019-10-16 08:50:00+00:00,8198.0653,,8254.5,
2019-10-16 08:51:00+00:00,8199.4096,8199.947712418301,8254.5,8282.583333333334
2019-10-16 08:52:00+00:00,8201.427,8205.351612903225,8255.5932,8283.462962962964
2019-10-16 08:53:00+00:00,8206.8117,,0.0,8285.125
2019-10-16 08:54:00+00:00,8206.8117,,8261.0492,8287.5
2019-10-16 08:55:00+00:00,8206.8117,,8263.7799,8287.970588235294
2019-10-16 08:56:00+00:00,8206.8117,8198.735,8264.5,8281.3
2019-10-16 08:57:00+00:00,8206.1382,8201.136363636364,8263.7799,8285.053691275169
2019-10-16 08:58:00+00:00,8206.1382,8204.0,8261.0,8283.0
2019-10-16 08:59:00+00:00,8206.8117,8203.0,8261.7317,8285.583333333334
2019-10-16 09:00:00+00:00,8206.8117,8204.044792833147,8261.0,8287.5
2019-10-16 09:01:00+00:00,8207.4852,,8263.7799,
2019-10-16 09:02:00+00:00,8208.1589,8202.019830028328,0.0,8285.878205128205
2019-10-16 09:03:00+00:00,8208.1589,8205.192452830188,8265.8291,8289.185185185184
2019-10-16 09:04:00+00:00,8206.1382,,8267.1958,8290.5
2019-10-16 09:05:00+00:00,8208.1589,,8267.0,8291.0
2019-10-16 09:06:00+00:00,8209.5066,8205.5,8267.0,8290.952830188678
2019-10-16 09:07:00+00:00,8209.5,,0.0,8291.413306451614
2019-10-16 09:08:00+00:00,8209.5,8204.210227272728,8267.0,8290.183333333332
2019-10-16 09:09:00+00:00,8209.5066,,8262.4143,
2019-10-16 09:10:00+00:00,8209.5,,0.0,
2019-10-16 09:11:00+00:00,8209.5066,8201.905660377359,8261.0,
2019-10-16 09:12:00+00:00,8208.8327,8200.746268656716,8261.0,8285.5
2019-10-16 09:13:00+00:00,8208.1589,,8261.0,
2019-10-16 09:14:00+00:00,8207.0,8200.132075471698,8261.0492,8281.116379310344
2019-10-16 09:15:00+00:00,8204.7916,,8259.6845,
2019-10-16 09:16:00+00:00,0.0,8197.0,0.0,8280.9
2019-10-16 09:17:00+00:00,8201.427,,8258.5,
2019-10-16 09:18:00+00:00,8201.427,,8258.5,
2019-10-16 09:19:00+00:00,0.0,,8258.5,8282.0
2019-10-16 09:20:00+00:00,8201.0,,8258.5,
2019-10-16 09:21:00+00:00,8201.0,,8258.5,
2019-10-16 09:22:00+00:00,8201.0,,8258.5,
2019-10-16 09:23:00+00:00,8201.0,8197.0,8258.5,8280.5
2019-10-16 09:24:00+00:00,8201.0,8197.0,8258.5,
2019-10-16 09:25:00+00:00,8201.0,8201.073446327684,8258.3203,8287.17277486911
2019-10-16 09:26:00+00:00,8201.427,8202.489795918367,8258.3203,8284.3
2019-10-16 09:27:00+00:00,8203.0,,8262.4143,
