Pair,Type,Start,End,NetPL,MaxDD,TotalVolume,CostAdjPL,NumTxn,RefEx,Param
ETHUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-0.88,1.14,8.0140,0.03,91,FCOIN,"{""pbfactor"":0.8,""widener"":35.5}"
ETHUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-0.30,0.30,0.1780,-0.28,2,BINANCE,"{""pbfactor"":0.8,""widener"":40.5}"
ETHUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-0.01,0.28,2.1670,0.23,25,FCOIN,"{""pbfactor"":0.8,""widener"":40.5}"
,,,,,,,,,,
BTCUSDT,REAL,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,8.37,6.67,0.7969,11.38,268,,
BTCUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-5.15,10.31,1.5760,0.81,535,BINANCE,"{""pbfactor"":0.8,""widener"":3.5}"
BTCUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-24.35,25.43,3.6461,-10.57,1219,FCOIN,"{""pbfactor"":0.8,""widener"":3.5}"
BTCUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-1.14,6.86,1.0568,2.86,357,BINANCE,"{""pbfactor"":0.8,""widener"":5.5}"
BTCUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-22.18,22.87,3.3166,-9.64,1110,FCOIN,"{""pbfactor"":0.8,""widener"":5.5}"
BTCUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-0.24,2.18,0.5290,1.76,178,BINANCE,"{""pbfactor"":0.8,""widener"":8.5}"
BTCUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-18.95,18.95,2.9779,-7.69,995,FCOIN,"{""pbfactor"":0.8,""widener"":8.5}"
BTCUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-0.42,2.23,0.3190,0.79,107,BINANCE,"{""pbfactor"":0.8,""widener"":10.5}"
BTCUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-13.69,13.69,2.4111,-4.57,804,FCOIN,"{""pbfactor"":0.8,""widener"":10.5}"
BTCUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,0.48,0.63,0.1060,0.88,36,BINANCE,"{""pbfactor"":0.8,""widener"":15.5}"
BTCUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,-5.42,5.42,1.1092,-1.22,370,FCOIN,"{""pbfactor"":0.8,""widener"":15.5}"
BTCUSDT,SIM,2019-06-10T00:00:00+08:00,2019-06-11T00:00:00+08:00,0.15,0.17,0.0270,0.25,9,BINANCE,"{""pbfactor"":0.8,""widener"":20.5}"
,,,,,,,,,,
ADAUSDT,REAL,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,0.16,0.28,3427.0000,0.30,33,,
ADAUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,0.10,0.42,1060.0000,0.14,10,BINANCE,"{""pbfactor"":0.8,""widener"":3.5}"
ADAUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-6.59,7.24,29519.7245,-5.39,282,FCOIN,"{""pbfactor"":0.8,""widener"":3.5}"
ADAUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-0.06,0.06,330.0000,-0.05,3,BINANCE,"{""pbfactor"":0.8,""widener"":5.5}"
ADAUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,0.22,1.94,18656.0288,0.98,175,FCOIN,"{""pbfactor"":0.8,""widener"":5.5}"
ADAUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,2.03,2.01,10450.0000,2.46,95,FCOIN,"{""pbfactor"":0.8,""widener"":8.5}"
ADAUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,1.23,1.24,7660.9354,1.55,73,FCOIN,"{""pbfactor"":0.8,""widener"":10.5}"
ADAUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,0.55,0.45,3734.3722,0.71,34,FCOIN,"{""pbfactor"":0.8,""widener"":15.5}"
ADAUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-0.08,0.19,1430.0000,-0.02,13,FCOIN,"{""pbfactor"":0.8,""widener"":20.5}"
ADAUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-0.04,0.06,440.0000,-0.02,4,FCOIN,"{""pbfactor"":0.8,""widener"":25.5}"
ADAUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-0.00,0.00,220.0000,0.00,2,FCOIN,"{""pbfactor"":0.8,""widener"":30.5}"
ADAUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,0.05,0.00,220.0000,0.06,2,FCOIN,"{""pbfactor"":0.8,""widener"":35.5}"
,,,,,,,,,,
DASHUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-0.02,0.59,0.5018,0.02,27,BINANCE,"{""pbfactor"":0.8,""widener"":3.5}"
DASHUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-1.38,1.95,2.3390,-1.21,64,FCOIN,"{""pbfactor"":0.8,""widener"":3.5}"
DASHUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-0.13,0.13,0.0670,-0.12,2,BINANCE,"{""pbfactor"":0.8,""widener"":5.5}"
DASHUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,0.18,0.15,0.7230,0.23,15,FCOIN,"{""pbfactor"":0.8,""widener"":5.5}"
DASHUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-0.02,0.02,0.0630,-0.01,2,FCOIN,"{""pbfactor"":0.8,""widener"":8.5}"
DASHUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,0.00,0.00,0.0620,0.00,1,FCOIN,"{""pbfactor"":0.8,""widener"":10.5}"
,,,,,,,,,,
LTCUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-10.32,11.23,72.7057,-6.20,388,BINANCE,"{""pbfactor"":0.8,""widener"":3.5}"
LTCUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-10.36,14.71,172.1145,-0.60,932,FCOIN,"{""pbfactor"":0.8,""widener"":3.5}"
LTCUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-10.11,11.21,44.3681,-7.60,232,BINANCE,"{""pbfactor"":0.8,""widener"":5.5}"
LTCUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-9.56,12.28,141.8812,-1.52,769,FCOIN,"{""pbfactor"":0.8,""widener"":5.5}"
LTCUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-7.41,7.68,20.5189,-6.25,108,BINANCE,"{""pbfactor"":0.8,""widener"":8.5}"
LTCUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-8.10,8.25,108.9483,-1.93,589,FCOIN,"{""pbfactor"":0.8,""widener"":8.5}"
LTCUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-3.86,4.10,10.9051,-3.24,58,BINANCE,"{""pbfactor"":0.8,""widener"":10.5}"
LTCUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-6.89,6.89,80.4118,-2.33,426,FCOIN,"{""pbfactor"":0.8,""widener"":10.5}"
LTCUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-0.60,0.60,0.9709,-0.54,6,BINANCE,"{""pbfactor"":0.8,""widener"":15.5}"
,,,,,,,,,,
XRPUSDT,REAL,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-4.56,4.76,10128.2400,-2.52,196,,
XRPUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-7.50,7.85,10568.2300,-5.38,229,BINANCE,"{""pbfactor"":0.8,""widener"":3.5}"
XRPUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-4.00,4.05,16273.0200,-0.71,357,FCOIN,"{""pbfactor"":0.8,""widener"":3.5}"
XRPUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,0.11,4.41,6160.1700,1.35,134,BINANCE,"{""pbfactor"":0.8,""widener"":5.5}"
XRPUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-4.29,4.40,9184.5600,-2.44,195,FCOIN,"{""pbfactor"":0.8,""widener"":5.5}"
XRPUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,1.08,2.69,2951.8200,1.67,61,BINANCE,"{""pbfactor"":0.8,""widener"":8.5}"
XRPUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-0.61,2.46,3968.4200,0.19,81,FCOIN,"{""pbfactor"":0.8,""widener"":8.5}"
XRPUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,1.06,1.41,1839.6900,1.43,37,BINANCE,"{""pbfactor"":0.8,""widener"":10.5}"
XRPUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,0.85,0.80,2872.1400,1.43,58,FCOIN,"{""pbfactor"":0.8,""widener"":10.5}"
XRPUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,0.64,0.07,602.5100,0.76,12,BINANCE,"{""pbfactor"":0.8,""widener"":15.5}"
XRPUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,1.25,0.31,922.3000,1.44,18,FCOIN,"{""pbfactor"":0.8,""widener"":15.5}"
,,,,,,,,,,
ETHUSDT,REAL,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,7.12,2.71,11.0056,8.45,140,,
ETHUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-4.86,7.39,23.8844,-1.98,273,BINANCE,"{""pbfactor"":0.8,""widener"":3.5}"
ETHUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-18.51,19.22,62.6652,-10.96,714,FCOIN,"{""pbfactor"":0.8,""widener"":3.5}"
ETHUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,3.61,2.71,13.9876,5.29,162,BINANCE,"{""pbfactor"":0.8,""widener"":5.5}"
ETHUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-16.78,17.22,54.9158,-10.16,631,FCOIN,"{""pbfactor"":0.8,""widener"":5.5}"
ETHUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,4.41,1.17,7.2613,5.29,84,BINANCE,"{""pbfactor"":0.8,""widener"":8.5}"
ETHUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-13.76,14.02,44.6790,-8.38,510,FCOIN,"{""pbfactor"":0.8,""widener"":8.5}"
ETHUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,2.47,0.77,5.0890,3.09,58,BINANCE,"{""pbfactor"":0.8,""widener"":10.5}"
ETHUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-9.90,9.93,40.1874,-5.06,461,FCOIN,"{""pbfactor"":0.8,""widener"":10.5}"
ETHUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,0.86,0.93,2.0500,1.10,24,BINANCE,"{""pbfactor"":0.8,""widener"":15.5}"
ETHUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-6.40,6.40,29.7506,-2.81,340,FCOIN,"{""pbfactor"":0.8,""widener"":15.5}"
ETHUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,0.43,0.08,1.0680,0.56,12,BINANCE,"{""pbfactor"":0.8,""widener"":20.5}"
ETHUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-2.19,2.19,9.2694,-1.07,106,FCOIN,"{""pbfactor"":0.8,""widener"":20.5}"
ETHUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,0.00,0.00,0.0890,0.01,1,BINANCE,"{""pbfactor"":0.8,""widener"":25.5}"
,,,,,,,,,,
BTCUSDT,REAL,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-6.58,7.81,0.5800,-4.33,194,,
BTCUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-10.57,11.43,1.1855,-5.97,400,BINANCE,"{""pbfactor"":0.8,""widener"":3.5}"
BTCUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-10.50,11.65,2.9376,0.90,982,FCOIN,"{""pbfactor"":0.8,""widener"":3.5}"
BTCUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-8.45,9.00,0.6535,-5.91,220,BINANCE,"{""pbfactor"":0.8,""widener"":5.5}"
BTCUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-10.90,11.56,2.7030,-0.42,901,FCOIN,"{""pbfactor"":0.8,""widener"":5.5}"
BTCUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-4.32,4.77,0.3250,-3.06,109,BINANCE,"{""pbfactor"":0.8,""widener"":8.5}"
BTCUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-10.02,10.22,2.4060,-0.68,802,FCOIN,"{""pbfactor"":0.8,""widener"":8.5}"
BTCUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-1.65,2.45,0.1870,-0.93,63,BINANCE,"{""pbfactor"":0.8,""widener"":10.5}"
BTCUSDT,SIM,2019-06-09T00:00:00+08:00,2019-06-10T00:00:00+08:00,-7.62,7.62,1.7655,-0.77,590,FCOIN,"{""pbfactor"":0.8,""widener"":10.5}"
