Time,Z19_B,Z19_D,H20_B,H20_D,B,D
2019-10-05 09:40:00+00:00,8114.5,8123.460526315789,8183.5,8203.49527294907,8097.97,8099.259999999993
2019-10-05 09:42:00+00:00,8114.5,8133.637254901961,8183.5,8204.875,8102.36,8101.962499999996
2019-10-05 09:46:00+00:00,8119.0,8125.983284169125,8183.9758,8201.392045454546,8106.12,8100.3498305084795
2019-10-05 09:47:00+00:00,8116.8831,8122.082514044944,8182.6364,8193.852564102564,8095.15,8097.521333333335
2019-10-05 09:48:00+00:00,8113.5903,8126.0,8178.5,8195.266666666666,8094.64,8099.508474576274
2019-10-05 09:49:00+00:00,8111.6158,8127.528846153846,8178.5,8199.31308411215,8095.34,8100.046333333323
2019-10-05 09:50:00+00:00,8111.0,8129.5,8179.29,8200.5,8096.95,8100.703050847457
2019-10-05 09:55:00+00:00,8112.2739,8134.213675213675,8178.0,8192.916666666666,8096.9,8101.262203389832
2019-10-05 09:59:00+00:00,8114.5,8131.576923076923,8178.0,8189.268656716418,8098.18,8095.888499999999
2019-10-05 10:00:00+00:00,8113.5903,8123.157407407408,8177.9522,8183.007790368272,8094.42,8092.370508474574
2019-10-05 10:01:00+00:00,8108.3273,8120.75,8176.6149,8185.46062992126,8087.06,8091.754666666663
2019-10-05 10:03:00+00:00,8105.0,8124.971153846154,8174.6097,8190.0,8093.87,8093.657333333331
2019-10-05 10:08:00+00:00,8105.0,8123.0,8171.5,8190.0,8091.14,8090.930999999995
2019-10-05 10:14:00+00:00,8105.5,8109.709249084249,8171.2698,8186.525,8090.2,8088.473559322031
2019-10-05 10:15:00+00:00,8101.7581,8112.584064327485,8169.2672,8181.95955882353,8088.58,8085.559499999997
2019-10-05 10:17:00+00:00,8094.5443,8105.694414607949,8166.5,8180.5477167778345,8084.85,8083.704237288139
2019-10-05 10:18:00+00:00,8094.5443,8118.659090909091,8165.9317,8184.5,8085.75,8089.42383333333
2019-10-05 10:25:00+00:00,8100.4455,8122.560606060606,8173.2734,8187.75,8090.9,8093.927999999996
2019-10-05 10:26:00+00:00,8105.0413,8125.5,8175.9464,8188.5,8093.35,8096.671694915254
2019-10-05 10:28:00+00:00,8110.5,8127.287937743191,8179.5,8191.9,8093.27,8100.034406779661
2019-10-05 10:29:00+00:00,8112.2739,8129.5,8182.6364,8194.5,8100.71,8101.718666666667
2019-10-05 10:30:00+00:00,8120.8381,8128.053571428572,8183.5,8194.49644549763,8100.74,8100.232666666662
2019-10-05 10:31:00+00:00,8120.8381,8128.406542056075,8181.2976,8197.474,8096.84,8099.14644067797
2019-10-05 10:35:00+00:00,8122.816999999999,8142.5,8183.5,8204.998539435248,8108.23,8108.276166666675
2019-10-05 10:38:00+00:00,8131.0,8144.2851711026615,8186.0,8206.5,8112.87,8115.125423728813
2019-10-05 10:52:00+00:00,8131.0,8140.860962566845,8189.5,8208.0,8112.12,8114.698305084746
2019-10-05 10:54:00+00:00,8131.0,8142.916666666667,8190.0082,8208.0,8116.16,8115.275666666667
2019-10-05 11:00:00+00:00,8126.1173,8136.0,8187.9964,8202.5,8104.28,8106.657833333333
2019-10-05 11:02:00+00:00,8125.5,8141.705128205128,8185.5,8207.4375,8110.84,8112.150169491525
2019-10-05 11:09:00+00:00,8125.5,8142.7,8192.0,8207.25,8114.06,8112.819322033899
2019-10-05 11:12:00+00:00,8125.0,8137.75,8192.0,8199.0,8108.18,8109.418833333335
2019-10-05 11:20:00+00:00,8114.9071,8129.1567164179105,8181.2976,8192.5,8094.62,8096.2023333333245
2019-10-05 11:24:00+00:00,8114.5,8130.0,8180.0,8193.0,8099.05,8100.029499999998
2019-10-05 11:28:00+00:00,8115.5,8133.0,8180.6283,8192.974327628363,8102.31,8098.0372881355925
2019-10-05 11:30:00+00:00,8115.0,8121.8857493857495,8179.29,8187.574074074074,8094.44,8093.0086440678015
2019-10-05 11:31:00+00:00,8112.932,8125.5,8176.6149,8185.606012658228,8093.29,8092.103333333341
2019-10-05 11:33:00+00:00,8110.5,8128.75,8173.2734,8186.0,8094.36,8095.718474576272
2019-10-05 11:38:00+00:00,8110.5,8126.25,8172.5,8185.178571428572,8092.9,8093.084666666666
2019-10-05 11:40:00+00:00,8108.9848,8131.0,8173.2734,8186.0,8097.31,8095.582203389835
2019-10-05 11:48:00+00:00,8109.5,8135.460606060606,8173.9415,8193.0,8100.2,8101.697000000004
2019-10-05 11:49:00+00:00,8110.9579,8138.051876379691,8179.9591,8197.392857142857,8104.63,8111.333559322039
2019-10-05 11:54:00+00:00,8125.0,8140.3,8186.0,8201.068181818182,8105.24,8106.801525423727
2019-10-05 11:57:00+00:00,8123.0,8136.6984126984125,8187.326,8200.614347826087,8108.72,8107.7861016949155
2019-10-05 11:58:00+00:00,8122.0,8131.72794117647,8187.9964,8197.25,8103.31,8100.8264999999965
2019-10-05 12:02:00+00:00,8108.9848,8122.89705882353,8178.6211,8190.0,8091.39,8090.811000000001
2019-10-05 12:03:00+00:00,8107.6699,8122.572727272727,8177.2835,8189.0,8089.14,8092.083333333335
2019-10-05 12:05:00+00:00,8107.0,8121.47227926078,8177.2835,8188.5,8088.52,8090.506
2019-10-05 12:07:00+00:00,8107.0,8122.598522167487,8174.0,8187.285046728972,8090.98,8090.566500000002
2019-10-05 12:08:00+00:00,8107.0126,8114.355973025048,8171.9376,8176.82078313253,8086.94,8088.6096610169525
2019-10-05 12:09:00+00:00,8101.7581,8119.642857142857,8170.5,8187.056962025316,8086.96,8089.688
2019-10-05 12:10:00+00:00,8101.7581,8123.0,8171.9376,8189.0,8092.18,8092.433666666663
2019-10-05 12:13:00+00:00,8104.5,8122.6621621621625,8173.5,8190.4121140142515,8085.85,8093.300847457632
