Time,v60,spread60,v10,spread10,v2,spread2
2019-06-19 00:01:41.999999999 +0800 +08,342748.79136281967,6.989999999999782,18374.410149789997,5.069999999999709,2255.30438595,1.0600000000013097
2019-06-19 00:01:43.999999999 +0800 +08,329015.7317058397,6.989999999999782,16358.84400458,3.819999999999709,88.82531714000001,0.3100000000013097
2019-06-19 00:01:45.999999999 +0800 +08,299513.99380311987,6.989999999999782,16456.99896571,4.029999999998836,6386.686010580001,3.2399999999997817
2019-06-19 00:01:47.999999999 +0800 +08,300149.57370986993,6.989999999999782,15749.351464639993,4.059999999999491,2304.2378729600005,1.680000000000291
2019-06-19 00:01:49.999999999 +0800 +08,295962.60868676,6.989999999999782,15595.763418339997,5.450000000000728,4560.709831709999,3.2600000000002183
2019-06-19 00:01:51.999999999 +0800 +08,288376.80233765,6.989999999999782,15802.00184566,4.950000000000728,2461.54281327,3.1599999999998545
2019-06-19 00:01:53.999999999 +0800 +08,287113.6329099999,6.989999999999782,21363.75790645,4.930000000000291,5650.58137793,4.6599999999998545
2019-06-19 00:01:55.999999999 +0800 +08,297191.43429877976,8.510000000000218,28246.673288750004,7.239999999999782,13269.601392879998,4.270000000000437
2019-06-19 00:01:57.999999999 +0800 +08,279780.2132182098,8.510000000000218,30294.200008570006,7.239999999999782,4351.7645927799995,0.8099999999994907
2019-06-19 00:01:59.999999999 +0800 +08,276137.84010797,8.510000000000218,29761.796563210006,7.139999999999418,4028.30638635,0.7099999999991269
2019-06-19 00:02:01.999999999 +0800 +08,274448.31460963,8.510000000000218,30201.182169740012,6.989999999999782,2900.9284197999996,0.5100000000002183
2019-06-19 00:02:03.999999999 +0800 +08,278006.5501162,9.909999999999854,30989.378434300008,5.670000000000073,6438.777642489999,3.6899999999986903
2019-06-19 00:02:05.999999999 +0800 +08,275213.8947864799,13.739999999999782,23752.878881829998,8.299999999999272,6033.1018404100005,6.949999999998909
2019-06-19 00:02:07.999999999 +0800 +08,278441.0542508399,13.739999999999782,24923.9813631,8.199999999998909,5522.867074050001,2.319999999999709
